MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,Fireplaces,GarageYrBlt,GarageCars,WoodDeckSF,EnclosedPorch,MiscVal
60,65.0,8450,7,5,2003,2003,196.0,706,0,150,856,856,854,1710,2,0,2003.0,2,0,0,0
20,80.0,9600,6,8,1976,1976,0.0,978,0,284,1262,1262,0,1262,2,1,1976.0,2,298,0,0
60,68.0,11250,7,5,2001,2002,162.0,486,0,434,920,920,866,1786,2,1,2001.0,2,0,0,0
70,60.0,9550,7,5,1915,1970,0.0,216,0,540,756,961,756,1717,1,1,1998.0,3,0,272,0
60,84.0,14260,8,5,2000,2000,350.0,655,0,490,1145,1145,1053,2198,2,1,2000.0,3,192,0,0
50,85.0,14115,5,5,1993,1995,0.0,732,0,64,796,796,566,1362,1,0,1993.0,2,40,0,700
20,75.0,10084,8,5,2004,2005,186.0,1369,0,317,1686,1694,0,1694,2,1,2004.0,2,255,0,0
50,51.0,6120,7,5,1931,1950,0.0,0,0,952,952,1022,752,1774,2,2,1931.0,2,90,205,0
190,50.0,7420,5,6,1939,1950,0.0,851,0,140,991,1077,0,1077,1,2,1939.0,1,0,0,0
20,70.0,11200,5,5,1965,1965,0.0,906,0,134,1040,1040,0,1040,1,0,1965.0,1,0,0,0
60,85.0,11924,9,5,2005,2006,286.0,998,0,177,1175,1182,1142,2324,3,2,2005.0,3,147,0,0
20,91.0,10652,7,5,2006,2007,306.0,0,0,1494,1494,1494,0,1494,2,1,2006.0,3,160,0,0
45,51.0,6120,7,8,1929,2001,0.0,0,0,832,832,854,0,854,1,0,1991.0,2,48,0,0
90,72.0,10791,4,5,1967,1967,0.0,0,0,0,0,1296,0,1296,2,0,1967.0,2,0,0,500
20,66.0,13695,5,5,2004,2004,0.0,646,0,468,1114,1114,0,1114,1,0,2004.0,2,0,0,0
20,70.0,7560,5,6,1958,1965,0.0,504,0,525,1029,1339,0,1339,1,0,1958.0,1,0,0,0
60,101.0,14215,8,5,2005,2006,380.0,0,0,1158,1158,1158,1218,2376,3,1,2005.0,3,240,0,0
45,57.0,7449,7,7,1930,1950,0.0,0,0,637,637,1108,0,1108,1,1,1930.0,1,0,205,0
20,75.0,9742,8,5,2002,2002,281.0,0,0,1777,1777,1795,0,1795,2,1,2002.0,2,171,0,0
120,44.0,4224,5,7,1976,1976,0.0,840,0,200,1040,1060,0,1060,1,1,1976.0,2,100,0,0
20,110.0,14230,8,5,2007,2007,640.0,0,0,1566,1566,1600,0,1600,2,1,2007.0,3,0,0,0
20,60.0,7200,5,7,1951,2000,0.0,234,486,180,900,900,0,900,1,0,2005.0,2,222,0,0
